# BEAST v1.8.2, r6687
# Generated Wed Dec 09 10:39:01 PST 2015 [seed=1449686340227]
state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	skyline.groupSize6	skyline.groupSize7	skyline.groupSize8	skyline.groupSize9	skyline.groupSize10	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	treeLikelihood	skyline
2000000	-6493.940886732497	-4194.567243191829	-2299.373643540668	1568.5399411789308	105202.35948522447	6113.685571137762	3849.502008539096	8170.4447888325485	1159.0119380671822	900.1431054003313	1739.5590558926026	6314.643347234842	581.60114804214	736.67809167758	15.0	35.0	20.0	29.0	5.0	4.0	22.0	18.0	24.0	26.0	3.968731328447313	0.3873280462189687	0.1763160622893347	0.20438157817945776	0.23197431331223775	1.1945136437474462E-5	-2299.373643540668	-1805.1775708023074
2100000	-6548.27382577189	-4244.769069560153	-2303.5047562117375	985.2122189973093	35270.32708518884	28931.29457148374	24624.47633754905	5662.612292427828	2946.271743446169	5426.7077314113685	6713.339062425808	2643.605371478935	672.7465417881245	692.823031234226	7.0	18.0	11.0	64.0	14.0	2.0	2.0	44.0	9.0	27.0	2.5214193567002123	0.395786413490435	0.16322671962507784	0.17853683759784444	0.2624500292866417	1.4959259927538423E-5	-2303.5047562117375	-1855.1430098863011
2200000	-6520.148492879005	-4202.68260218328	-2317.465890695725	922.2242218040827	18694.475875721742	51017.818713560475	4810.230784295293	5248.401455586056	3529.565138431384	3445.5203143536914	3108.3321300666503	2547.2748331323187	1996.556628523026	238.79925914714312	4.0	19.0	3.0	54.0	11.0	3.0	1.0	37.0	40.0	26.0	3.8432955219146385	0.39168487608237734	0.1880502692489365	0.17523162242784399	0.24503323224084111	1.5257507736315126E-5	-2317.465890695725	-1813.8390576104161
2300000	-6588.486990594291	-4268.847639307271	-2319.6393512870195	758.7057330266003	38456.16033786345	73510.28070814243	57427.78467572427	11139.083040362986	8063.130808042906	17293.26245783369	10690.758773497333	3361.098693814253	1948.043799105498	255.91296592147842	12.0	4.0	9.0	20.0	42.0	5.0	29.0	8.0	36.0	33.0	3.9166740838407264	0.4429354642811745	0.13958909366042466	0.18910848483363665	0.22836695722476308	1.3547351853463736E-5	-2319.6393512870195	-1872.3085264554284
2400000	-6503.388394871925	-4185.997273540557	-2317.3911213313677	464.51593081359107	23045.06488379812	20959.25162500231	28816.465432896603	15924.02862458384	22307.020081176383	9558.677727264667	8028.686263436193	1366.8420367243828	2276.733468542191	195.01496865382256	3.0	21.0	7.0	3.0	25.0	8.0	22.0	17.0	48.0	44.0	3.1442244620207442	0.4446783940700587	0.14590012887608775	0.16853901920282904	0.24088245785102338	1.571620282814957E-5	-2317.3911213313677	-1792.103809845031
2500000	-6498.040412296283	-4168.397390483502	-2329.643021812781	562.2618782541036	82750.55407255786	4201.595096626823	8172.781832116891	8805.135953229643	15568.148100648197	13250.46823695509	837.8919254131652	2540.5622781514644	3318.1170977837146	167.01025889395913	19.0	6.0	6.0	34.0	4.0	6.0	1.0	3.0	74.0	45.0	3.458152844447023	0.4276407018947409	0.1365555913953937	0.18119275000879057	0.25461095670107387	1.3979715945861238E-5	-2329.643021812781	-1774.63647951415
2600000	-6577.153366673274	-4259.735775137661	-2317.4175915356127	566.3448485092308	55155.915594192906	13655.07337409769	14539.895362230474	24154.51136563947	13404.012839909918	13242.041107656172	2711.5111166098723	2665.9565832168596	1650.5680568191824	200.54381418303555	21.0	2.0	6.0	19.0	25.0	20.0	26.0	7.0	53.0	19.0	3.1682898301105173	0.3868722997164734	0.16109923865055945	0.1933757498607325	0.2586527117722336	1.1288163141962285E-5	-2317.4175915356127	-1866.7482905673407
2700000	-6509.798469859899	-4199.581641402778	-2310.216828457121	1015.3126354602871	75282.29179276821	10294.739432537544	26113.963756511024	9202.967992517179	6828.910028799936	1592.8864458221556	1353.133924777655	1640.6468923520297	2987.338963257072	576.4492893057122	18.0	7.0	4.0	5.0	30.0	17.0	42.0	10.0	33.0	32.0	2.9711924889132706	0.4492879179331718	0.14487152902607398	0.16513782985125008	0.24070272318950325	1.4399374473325027E-5	-2310.216828457121	-1809.0525227737592
2800000	-6629.256734548593	-4327.560498123987	-2301.696236424607	1972.8329384665608	10354.104133831022	23591.053881262553	33866.64143982082	5422.570117424775	11001.661810024207	10963.990975998355	4361.259714104528	4502.8947952488525	2709.7361276308957	425.28398397476366	11.0	10.0	27.0	9.0	36.0	20.0	17.0	23.0	27.0	18.0	3.5843932234801343	0.435358170260455	0.14865321091202538	0.20448737413556684	0.21150124469195192	1.0460484172387331E-5	-2301.696236424607	-1933.4558190457535
2900000	-6528.538740300517	-4256.809427562293	-2271.7293127382236	1294.0580949421048	27104.880861682723	19056.80178805624	10318.504269591915	5126.9262592217065	4628.086679460819	9344.99194774199	5364.192408414378	4429.045066889852	12127.70832595927	239.41786687879713	32.0	12.0	25.0	11.0	7.0	5.0	2.0	56.0	4.0	44.0	3.3488062067968793	0.42729218746496417	0.1714139752844403	0.1791362098929013	0.22215762735769345	1.1539079785108932E-5	-2271.7293127382236	-1862.7536289223754
